nom groupe ssgroupe Energie Eau Proteines Glucides Lipides Sucres Fibres Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Potiron, cuit" légumes "légumes cuits" NA 92 0.81 4.5 0.07 3.1 2 13 0.04 0.18 6.9 0.04 21 230 0.1 0.84
"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau" légumes "légumes cuits" 28.7 91.1 2.17 3 0.47 2.34 2.2 6 0.5 1.74 12 0.12 87 356 0.87 4
"Épinard, surgelé, cuit" légumes "légumes cuits" NA 88.9 4.01 0.51 0.87 0.51 3.7 153 0.16 1.96 82 0.72 50 302 0.49 2.2
"Chou-fleur, surgelé, cuit" légumes "légumes cuits" 18 94 1.61 1.05 0.22 1.03 2.7 17 0.024 0.41 9 0.15 24 139 0.13 31.3
"Petits pois, surgelés, cuits" légumes "légumes cuits" NA 79.5 5.15 7.95 0.27 4.65 5.5 24 0.11 1.52 22 0.28 77 110 0.67 9.9
"Panais, cuit" légumes "légumes cuits" 67.8 80.2 1.32 13.4 0.3 4.8 3.6 37 0.14 0.58 29 0.29 69 367 0.26 13
"Courge spaghetti, pulpe, cuite" légumes "légumes cuits" NA 92.3 0.66 5.06 0.26 2.53 1.4 21 0.035 0.34 11 0.11 14 117 0.2 3.5
"Tétragone cornue, cuite" légumes "légumes cuits" NA 94.8 1.3 1 0.17 0.25 1.4 48 0.077 0.66 32 0.53 22 102 0.31 16
"Rutabaga, cuit" légumes "légumes cuits" NA 91.5 0.93 4.26 0.18 3.95 1.8 18 0.029 0.18 10 0.097 41 216 0.12 18.8
"Tomate, purée, appertisée" légumes "légumes cuits" 47.1 85.6 1.4 7.54 0.4 3.64 2.38 19.9 0.15 0.6 30 0.16 41.9 798 0.2 9
"Bambou, pousses, appertisées, égouttées" légumes "légumes cuits" NA 95 1.61 1.9 0.15 1.15 1.25 17 0.098 0.24 3.5 0.14 26.8 196 0.56 1.1
"Brocoli, surgelé, cuit" légumes "légumes cuits" NA 90.7 3.1 2.36 0.11 1.47 3 51 0.043 0.61 20 0.33 55 180 0.3 40.1
"Chou de Bruxelles, surgelé, cuit" légumes "légumes cuits" NA 86.7 3.64 4.22 0.39 2.08 4.1 26 0.034 0.48 18 0.21 56 290 0.24 45.7
"Carotte, surgelée, cuite" légumes "légumes cuits" 32.9 90.3 0.58 4.52 0.68 4.08 3.3 35 0.082 0.53 11 0.17 31 192 0.35 2.3
"Champignon, lentin comestible ou shiitaké, cuit" légumes "légumes cuits" 60.9 83.5 1.56 12.3 0.22 3.84 2.1 3 0.9 0.44 14 0.2 29 117 1.33 0.3
"Petits pois et carottes, surgelés, cuits" légumes "légumes cuits" NA 85.8 3.09 7.02 0.42 4.36 3.1 23 0.076 0.94 16 0.2 49 158 0.45 8.1
"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau" légumes "légumes cuits" 30.5 90.9 2.25 3.39 0.3 2.3 2.8 35 0.08 0.46 14 0.18 40 100 0.28 20.6
"Chou frisé, cuit" légumes "légumes cuits" NA 91.2 1.9 3.63 0.4 1.25 2 72 0.16 0.9 18 0.42 28 228 0.24 41
"Chou chinois (pak-choi ou pé-tsai), cuit" légumes "légumes cuits" NA 95.4 1.53 0.75 0.17 0.75 1.35 62.5 0.024 0.67 10.5 0.15 34 298 0.18 20.9
"Tomate, pulpe et peau, bouillie/cuite à l'eau" légumes "légumes cuits" NA 94.3 0.95 2.8 0.11 2.49 0.7 11 0.075 0.68 9 0.11 28 218 0.14 22.8
"Pois mange-tout ou pois gourmands, cuits" légumes "légumes cuits" NA 86.6 3.5 5.92 0.38 4.82 3.1 59 0.09 2.4 28 0.28 58 217 0.49 22
"Légumes (3-4 sortes en mélange), purée" légumes "légumes cuits" 61.8 86 1.94 4.25 3.4 2.4 3.3 47 0.12 0.67 18 0.18 42 260 0.33 NA
"Brocoli, purée" légumes "légumes cuits" NA 91.7 2.5 2.75 0.38 1.65 2.39 87 NA 0.9 NA NA NA NA NA 90
"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)" légumes "légumes cuits" NA 88.2 2.05 8.53 0.2 5.5 2.6 NA NA NA NA NA NA NA NA NA
"Tomate, double concentré, appertisé" légumes "légumes cuits" 92.8 74.3 3.73 17 0.29 16.5 3.62 NA NA NA NA NA NA NA NA NA
"Macédoine de légumes, surgelée, pré-cuite (à recuire)" légumes "légumes cuits" 54.5 86.4 3.48 6.8 0.28 3.35 5.45 NA NA NA NA NA NA NA NA NA
"Poivron rouge, appertisé, égoutté" légumes "légumes cuits" NA 90.3 0.91 4.42 0.77 3.64 1.7 25 0.098 0.63 12.5 0.12 19 156 0.15 109
"Asperge blanche, bouillie/cuite à l'eau" légumes "légumes cuits" 18.6 94.9 1.44 1.63 0.3 1.2 1.3 15 0.09 0.26 7.1 0.07 29 120 0.3 5.16
"Céleri-rave, purée" légumes "légumes cuits" NA 91.4 1.37 2.83 0.18 2.11 4.01 50 NA 0.5 NA NA NA NA NA 8.3
"Tomate, pulpe et peau, rôtie/cuite au four" légumes "légumes cuits" 31.1 92 0.88 4.13 0.6 3.7 2.2 10 0.05 0.25 13 0.23 30 300 0.15 14.5
"Chou romanesco ou brocoli à pomme, cuit" légumes "légumes cuits" 35.8 91.5 3 2.03 0.8 1.6 4.3 32 0.05 0.53 13 0.19 55 260 0.32 15.1
"Potimarron, pulpe, cuit à l'étouffée" légumes "légumes cuits" 44.8 87.3 1.31 7.05 0.5 4.5 3.3 18 0.08 0.24 10 0.05 33 430 0.27 10.9
"Carotte, purée cuisinée à la crème, préemballée" légumes "légumes cuits" 44.4 89.6 1.44 4.57 1.6 4.39 3 30 0.04 0.19 6.4 0.08 21 190 0.18 NA
"Asperge verte, bouillie/cuite à l'eau" légumes "légumes cuits" 26.6 92.7 2.69 1.73 0.3 1.3 2.2 21 0.11 0.64 10 0.13 49 220 0.49 4.73
"Bette ou blette, côte et feuille, bouillie/cuite à l'eau" légumes "légumes cuits" 16.9 95.2 0.88 1.43 0.3 1 2.5 60 0.04 0.52 10 0.34 18 160 0.11 NA
"Brocoli, bouilli/cuit à l'eau, croquant" légumes "légumes cuits" 23.5 92.9 2.5 1.23 0.4 0.8 2.6 42 0.11 0.41 12 0.18 44 110 0.23 22.7
